;;;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008
0929 Åmli;929;Åmli;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0935 Iveland;935;Iveland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0937 Evje og Hornnes;937;Evje og Hornnes;18;100;61;:;:;12;100;67;6;100;:;18;100;61;:;:;12;100;67;6;100;:;18;100;61;:;:;12;100;67;6;100;:
0938 Bygland;938;Bygland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0940 Valle;940;Valle;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
0941 Bykle;941;Bykle;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1001 Kristiansand;1001;Kristiansand;133;100;66;10;24;78;100;71;55;100;60;133;100;66;10;24;78;100;71;55;100;60;133;100;66;10;24;78;100;71;55;100;60
1002 Mandal;1002;Mandal;13;100;54;:;:;9;100;78;4;100;:;13;100;54;:;:;9;100;78;4;100;:;13;100;54;:;:;9;100;78;4;100;:
1003 Farsund;1003;Farsund;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:
1004 Flekkefjord;1004;Flekkefjord;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
1014 Vennesla;1014;Vennesla;5;100;:;:;:;:;:;:;4;100;:;5;100;:;:;:;:;:;:;4;100;:;5;100;:;:;:;:;:;:;4;100;:
1017 Songdalen;1017;Songdalen;7;100;71;:;:;4;100;:;:;100;:;7;100;71;:;:;4;100;:;:;100;:;7;100;71;:;:;4;100;:;:;100;:
1018 Søgne;1018;Søgne;17;100;65;:;:;7;100;71;10;100;60;17;100;65;:;:;7;100;71;10;100;60;17;100;65;:;:;7;100;71;10;100;60
1021 Marnardal;1021;Marnardal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1026 Åseral;1026;Åseral;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1027 Audnedal;1027;Audnedal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1029 Lindesnes;1029;Lindesnes;5;100;100;:;:;:;:;:;:;100;:;5;100;100;:;:;:;:;:;:;100;:;5;100;100;:;:;:;:;:;:;100;:
1032 Lyngdal;1032;Lyngdal;16;100;81;:;:;12;100;75;4;100;100;16;100;81;:;:;12;100;75;4;100;100;16;100;81;:;:;12;100;75;4;100;100
1034 Hægebostad;1034;Hægebostad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1037 Kvinesdal;1037;Kvinesdal;7;100;86;:;:;4;100;:;:;100;:;7;100;86;:;:;4;100;:;:;100;:;7;100;86;:;:;4;100;:;:;100;:
1046 Sirdal;1046;Sirdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1101 Eigersund;1101;Eigersund;19;100;37;21;42;6;100;67;13;100;:;19;100;37;21;42;6;100;67;13;100;:;19;100;37;21;42;6;100;67;13;100;:
1102 Sandnes;1102;Sandnes;42;100;67;19;14;23;100;61;19;100;74;42;100;67;19;14;23;100;61;19;100;74;42;100;67;19;14;23;100;61;19;100;74
1103 Stavanger;1103;Stavanger;40;100;68;:;:;19;100;79;21;100;57;40;100;68;:;:;19;100;79;21;100;57;40;100;68;:;:;19;100;79;21;100;57
1106 Haugesund;1106;Haugesund;39;100;56;:;:;24;100;63;15;100;47;39;100;56;:;:;24;100;63;15;100;47;39;100;56;:;:;24;100;63;15;100;47
1111 Sokndal;1111;Sokndal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1112 Lund;1112;Lund;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1114 Bjerkreim;1114;Bjerkreim;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1119 Hå;1119;Hå;5;100;:;:;:;:;:;:;4;100;:;5;100;:;:;:;:;:;:;4;100;:;5;100;:;:;:;:;:;:;4;100;:
1120 Klepp;1120;Klepp;9;100;67;:;:;4;100;:;5;100;80;9;100;67;:;:;4;100;:;5;100;80;9;100;67;:;:;4;100;:;5;100;80
1121 Time;1121;Time;18;100;67;:;:;10;100;50;8;100;88;18;100;67;:;:;10;100;50;8;100;88;18;100;67;:;:;10;100;50;8;100;88
1122 Gjesdal;1122;Gjesdal;15;100;60;:;:;8;100;50;7;100;71;15;100;60;:;:;8;100;50;7;100;71;15;100;60;:;:;8;100;50;7;100;71
1124 Sola;1124;Sola;17;100;59;:;:;10;100;60;7;100;57;17;100;59;:;:;10;100;60;7;100;57;17;100;59;:;:;10;100;60;7;100;57
1127 Randaberg;1127;Randaberg;13;100;77;:;:;8;100;75;5;100;80;13;100;77;:;:;8;100;75;5;100;80;13;100;77;:;:;8;100;75;5;100;80
1129 Forsand;1129;Forsand;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1130 Strand;1130;Strand;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1133 Hjelmeland;1133;Hjelmeland;18;100;94;:;:;14;100;100;4;100;:;18;100;94;:;:;14;100;100;4;100;:;18;100;94;:;:;14;100;100;4;100;:
1134 Suldal;1134;Suldal;9;100;89;:;:;:;100;:;6;100;83;9;100;89;:;:;:;100;:;6;100;83;9;100;89;:;:;:;100;:;6;100;83
1135 Sauda;1135;Sauda;20;100;80;:;:;17;100;76;:;100;:;20;100;80;:;:;17;100;76;:;100;:;20;100;80;:;:;17;100;76;:;100;:
1141 Finnøy;1141;Finnøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1142 Rennesøy;1142;Rennesøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1144 Kvitsøy;1144;Kvitsøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1145 Bokn;1145;Bokn;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1146 Tysvær;1146;Tysvær;10;100;60;:;:;:;:;:;8;100;50;10;100;60;:;:;:;:;:;8;100;50;10;100;60;:;:;:;:;:;8;100;50
1149 Karmøy;1149;Karmøy;17;100;71;:;:;9;100;67;8;100;75;17;100;71;:;:;9;100;67;8;100;75;17;100;71;:;:;9;100;67;8;100;75
1151 Utsira;1151;Utsira;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1160 Vindafjord;1160;Vindafjord;14;100;36;:;:;7;100;:;7;100;:;14;100;36;:;:;7;100;:;7;100;:;14;100;36;:;:;7;100;:;7;100;:
1201 Bergen;1201;Bergen;192;100;60;5;35;105;100;70;87;100;48;192;100;60;5;35;105;100;70;87;100;48;192;100;60;5;35;105;100;70;87;100;48
1211 Etne;1211;Etne;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1216 Sveio;1216;Sveio;10;100;:;70;:;7;100;:;:;100;:;10;100;:;70;:;7;100;:;:;100;:;10;100;:;70;:;7;100;:;:;100;:
1219 Bømlo;1219;Bømlo;12;100;58;:;:;8;100;63;4;100;:;12;100;58;:;:;8;100;63;4;100;:;12;100;58;:;:;8;100;63;4;100;:
1221 Stord;1221;Stord;8;100;75;:;:;:;:;:;7;100;71;8;100;75;:;:;:;:;:;7;100;71;8;100;75;:;:;:;:;:;7;100;71
1222 Fitjar;1222;Fitjar;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1223 Tysnes;1223;Tysnes;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1224 Kvinnherad;1224;Kvinnherad;6;100;:;:;:;:;:;:;5;100;:;6;100;:;:;:;:;:;:;5;100;:;6;100;:;:;:;:;:;:;5;100;:
1227 Jondal;1227;Jondal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1228 Odda;1228;Odda;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1231 Ullensvang;1231;Ullensvang;9;100;56;:;:;5;100;80;4;100;:;9;100;56;:;:;5;100;80;4;100;:;9;100;56;:;:;5;100;80;4;100;:
1232 Eidfjord;1232;Eidfjord;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1233 Ulvik;1233;Ulvik;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1234 Granvin;1234;Granvin;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1235 Voss;1235;Voss;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1238 Kvam;1238;Kvam;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1241 Fusa;1241;Fusa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1242 Samnanger;1242;Samnanger;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1243 Os;1243;Os (Hord.);10;100;90;:;:;:;:;:;9;100;89;10;100;90;:;:;:;:;:;9;100;89;10;100;90;:;:;:;:;:;9;100;89
1244 Austevoll;1244;Austevoll;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1245 Sund;1245;Sund;5;100;:;:;:;:;:;:;4;100;:;5;100;:;:;:;:;:;:;4;100;:;5;100;:;:;:;:;:;:;4;100;:
1246 Fjell;1246;Fjell;10;100;80;:;:;6;100;100;4;100;:;10;100;80;:;:;6;100;100;4;100;:;10;100;80;:;:;6;100;100;4;100;:
1247 Askøy;1247;Askøy;17;100;71;:;:;10;100;60;7;100;86;17;100;71;:;:;10;100;60;7;100;86;17;100;71;:;:;10;100;60;7;100;86
1251 Vaksdal;1251;Vaksdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1252 Modalen;1252;Modalen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1253 Osterøy;1253;Osterøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1256 Meland;1256;Meland;9;100;78;:;:;6;100;67;:;100;:;9;100;78;:;:;6;100;67;:;100;:;9;100;78;:;:;6;100;67;:;100;:
1259 Øygarden;1259;Øygarden;8;100;75;:;:;5;100;80;:;100;:;8;100;75;:;:;5;100;80;:;100;:;8;100;75;:;:;5;100;80;:;100;:
1260 Radøy;1260;Radøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1263 Lindås;1263;Lindås;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1264 Austrheim;1264;Austrheim;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1265 Fedje;1265;Fedje;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1266 Masfjorden;1266;Masfjorden;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1401 Flora;1401;Flora;21;100;57;:;:;8;100;63;13;100;54;21;100;57;:;:;8;100;63;13;100;54;21;100;57;:;:;8;100;63;13;100;54
1411 Gulen;1411;Gulen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1412 Solund;1412;Solund;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1413 Hyllestad;1413;Hyllestad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1416 Høyanger;1416;Høyanger;10;100;70;:;:;6;100;83;4;100;:;10;100;70;:;:;6;100;83;4;100;:;10;100;70;:;:;6;100;83;4;100;:
1417 Vik;1417;Vik;5;100;:;:;:;4;100;:;:;100;:;5;100;:;:;:;4;100;:;:;100;:;5;100;:;:;:;4;100;:;:;100;:
1418 Balestrand;1418;Balestrand;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1419 Leikanger;1419;Leikanger;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1420 Sogndal;1420;Sogndal;22;100;82;:;:;12;100;75;10;100;90;22;100;82;:;:;12;100;75;10;100;90;22;100;82;:;:;12;100;75;10;100;90
1421 Aurland;1421;Aurland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1422 Lærdal;1422;Lærdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1424 Årdal;1424;Årdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1426 Luster;1426;Luster;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1428 Askvoll;1428;Askvoll;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1429 Fjaler;1429;Fjaler;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1430 Gaular;1430;Gaular;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1431 Jølster;1431;Jølster;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1432 Førde;1432;Førde;7;100;:;:;71;:;:;:;4;100;:;7;100;:;:;71;:;:;:;4;100;:;7;100;:;:;71;:;:;:;4;100;:
1433 Naustdal;1433;Naustdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1438 Bremanger;1438;Bremanger;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1439 Vågsøy;1439;Vågsøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1441 Selje;1441;Selje;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1443 Eid;1443;Eid;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1444 Hornindal;1444;Hornindal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1445 Gloppen;1445;Gloppen;9;100;78;:;:;:;:;:;6;100;67;9;100;78;:;:;:;:;:;6;100;67;9;100;78;:;:;:;:;:;6;100;67
1449 Stryn;1449;Stryn;15;100;67;:;:;11;100;64;4;100;:;15;100;67;:;:;11;100;64;4;100;:;15;100;67;:;:;11;100;64;4;100;:
1502 Molde;1502;Molde;27;100;85;:;:;19;100;89;8;100;75;27;100;85;:;:;19;100;89;8;100;75;27;100;85;:;:;19;100;89;8;100;75
1504 Ålesund;1504;Ålesund;16;100;69;:;:;7;100;57;9;100;78;16;100;69;:;:;7;100;57;9;100;78;16;100;69;:;:;7;100;57;9;100;78
1505 Kristiansund;1505;Kristiansund;29;100;41;14;45;14;100;71;15;100;:;29;100;41;14;45;14;100;71;15;100;:;29;100;41;14;45;14;100;71;15;100;:
1511 Vanylven;1511;Vanylven;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1514 Sande;1514;Sande (M. og R.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1515 Herøy;1515;Herøy (M. og R.);5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
1516 Ulstein;1516;Ulstein;10;100;:;:;70;:;:;:;9;100;:;10;100;:;:;70;:;:;:;9;100;:;10;100;:;:;70;:;:;:;9;100;:
1517 Hareid;1517;Hareid;11;100;73;:;:;7;100;100;4;100;:;11;100;73;:;:;7;100;100;4;100;:;11;100;73;:;:;7;100;100;4;100;:
1519 Volda;1519;Volda;19;100;68;:;:;12;100;75;7;100;57;19;100;68;:;:;12;100;75;7;100;57;19;100;68;:;:;12;100;75;7;100;57
1520 Ørsta;1520;Ørsta;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1523 Ørskog;1523;Ørskog;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1524 Norddal;1524;Norddal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1525 Stranda;1525;Stranda;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1526 Stordal;1526;Stordal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1528 Sykkylven;1528;Sykkylven;15;100;67;:;:;8;100;63;7;100;71;15;100;67;:;:;8;100;63;7;100;71;15;100;67;:;:;8;100;63;7;100;71
1529 Skodje;1529;Skodje;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1531 Sula;1531;Sula;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1532 Giske;1532;Giske;10;100;90;:;:;8;100;100;:;100;:;10;100;90;:;:;8;100;100;:;100;:;10;100;90;:;:;8;100;100;:;100;:
1534 Haram;1534;Haram;16;100;63;:;:;7;100;57;9;100;67;16;100;63;:;:;7;100;57;9;100;67;16;100;63;:;:;7;100;57;9;100;67
1535 Vestnes;1535;Vestnes;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1539 Rauma;1539;Rauma;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1543 Nesset;1543;Nesset;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1545 Midsund;1545;Midsund;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1546 Sandøy;1546;Sandøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1547 Aukra;1547;Aukra;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1548 Fræna;1548;Fræna;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1551 Eide;1551;Eide;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1554 Averøy;1554;Averøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1557 Gjemnes;1557;Gjemnes;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1560 Tingvoll;1560;Tingvoll;7;100;57;:;:;6;100;67;:;100;:;7;100;57;:;:;6;100;67;:;100;:;7;100;57;:;:;6;100;67;:;100;:
1563 Sunndal;1563;Sunndal;19;100;74;:;:;16;100;75;:;100;67;19;100;74;:;:;16;100;75;:;100;67;19;100;74;:;:;16;100;75;:;100;67
1566 Surnadal;1566;Surnadal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1567 Rindal;1567;Rindal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1571 Halsa;1571;Halsa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1573 Smøla;1573;Smøla;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1576 Aure;1576;Aure;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1601 Trondheim;1601;Trondheim;156;100;54;13;33;79;100;61;77;100;47;156;100;54;13;33;79;100;61;77;100;47;156;100;54;13;33;79;100;61;77;100;47
1612 Hemne;1612;Hemne;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1613 Snillfjord;1613;Snillfjord;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1617 Hitra;1617;Hitra;7;100;86;:;:;6;100;83;:;100;:;7;100;86;:;:;6;100;83;:;100;:;7;100;86;:;:;6;100;83;:;100;:
1620 Frøya;1620;Frøya;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1621 Ørland;1621;Ørland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1622 Agdenes;1622;Agdenes;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1624 Rissa;1624;Rissa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1627 Bjugn;1627;Bjugn;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1630 Åfjord;1630;Åfjord;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1632 Roan;1632;Roan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1633 Osen;1633;Osen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1634 Oppdal;1634;Oppdal;6;100;67;:;:;6;100;67;:;:;:;6;100;67;:;:;6;100;67;:;:;:;6;100;67;:;:;6;100;67;:;:;:
1635 Rennebu;1635;Rennebu;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1636 Meldal;1636;Meldal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1638 Orkdal;1638;Orkdal;15;100;73;:;:;7;100;86;8;100;63;15;100;73;:;:;7;100;86;8;100;63;15;100;73;:;:;7;100;86;8;100;63
1640 Røros;1640;Røros;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1644 Holtålen;1644;Holtålen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1648 Midtre Gauldal;1648;Midtre Gauldal;6;100;67;:;:;4;100;:;:;100;:;6;100;67;:;:;4;100;:;:;100;:;6;100;67;:;:;4;100;:;:;100;:
1653 Melhus;1653;Melhus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1657 Skaun;1657;Skaun;6;100;67;:;:;:;:;:;4;100;:;6;100;67;:;:;:;:;:;4;100;:;6;100;67;:;:;:;:;:;4;100;:
1662 Klæbu;1662;Klæbu;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1663 Malvik;1663;Malvik;6;100;:;:;:;:;:;:;:;100;:;6;100;:;:;:;:;:;:;:;100;:;6;100;:;:;:;:;:;:;:;100;:
